时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
1天前发布,python开发工程师,广州·员村,15k-20k,经验3-5年 / 大专,原力互娱,"移动互联网 / 上市公司 / 500-2000人	游戏运维Linux","上市公司,周末双休,包三餐,团队氛围好",
2天前发布,python工程师(J11548),北京·大山子,25k-40k,经验3-5年 / 本科,便利蜂,移动互联网,"生活服务 / 不需要融资 / 2000人以上	弹性工作美女多帅哥多领导好",五险一金
1天前发布,Python研发工程师（中高级）,北京·四惠,15k-25k,经验3-5年 / 本科,掌阅,"移动互联网 / 上市公司 / 500-2000人	专项奖金带薪年假年度旅游扁平管理","管理扁平化,发展机会佳,薪资待遇好",
2天前发布,Python开发工程师,西安·高新技术产业开发区,8k-15k,经验1-3年 / 本科,润和软件,"移动互联网 / 上市公司 / 2000人以上	JSRuby","主动性强,学历能力",
1天前发布,Python开发工程师,北京·北京站,20k-40k,经验1-3年 / 大专,智水互娱,"游戏 / 不需要融资 / 15-50人	Java","海外,高薪",
1天前发布,Python高级开发工程师,上海·闵行区,15k-25k,经验3-5年 / 本科,莉莉丝游戏,移动互联网,"游戏 / 不需要融资 / 150-500人	都是萌妹子项目奖金零食无限量牛逼的同事","零食饮料,五险一金,年终奖,境外团结"
1天前发布,Python开发工程师（南京）,南京·铁心桥,10k-18k,经验1-3年 / 本科,飞常准,"移动互联网 / A轮 / 150-500人	Java数据库",弹性工作,
1天前发布,python工程师（ai）,北京·东城区,20k-40k,经验不限 / 本科,客知音,企业服务,"移动互联网 / A轮 / 15-50人	年终分红带薪年假交通补助午餐补助",人工智能；技术驱动；大牛带队；福利多多
1天前发布,Python开发工程师,成都·中和,8k-15k,经验3-5年 / 大专,易路,移动互联网,"企业服务 / A轮 / 50-150人	Java",弹性工时/年轻团队/人性管理/高端客户群
2天前发布,Python中级工程师,廊坊·广阳区,8k-10k,经验1-3年 / 本科,ZingFront智线,移动互联网,"数据服务 / A轮 / 50-150人	JavaPHP","五险一金,带薪年假,技术成长,晋升空间大"
2018/10/17,Python工程师,西安·科技二路,8k-15k,经验1-3年 / 大专,晟运通科技,"电子商务 / 未融资 / 150-500人	大数据Hadoop","五险一金,法定双休,节日福利,平台晋升",
2天前发布,高级Python开发工程师,郑州·东明路,7k-10k,经验1-3年 / 大专,郑州创恒实业有限公司,"移动互联网 / 未融资 / 150-500人	云计算MySQL云计算爬虫",高级,
